date,post_id,biz_type,periods,amount,wkd
2018-01-01,A,A3,1,0,2
2018-01-01,A,A3,2,0,2
2018-01-01,A,A3,3,0,2
2018-01-01,A,A3,4,0,2
2018-01-01,A,A3,5,0,2
2018-01-01,A,A3,6,0,2
2018-01-01,A,A3,7,0,2
2018-01-01,A,A3,8,0,2
2018-01-01,A,A3,9,0,2
2018-01-01,A,A3,10,0,2
2018-01-01,A,A3,11,0,2
2018-01-01,A,A3,12,0,2
2018-01-01,A,A3,13,0,2
2018-01-01,A,A3,14,0,2
2018-01-01,A,A3,15,0,2
2018-01-01,A,A3,16,0,2
2018-01-01,A,A3,17,0,2
2018-01-01,A,A3,18,0,2
2018-01-01,A,A3,19,2,2
2018-01-01,A,A3,20,2,2
2018-01-01,A,A3,21,1,2
2018-01-01,A,A3,22,3,2
2018-01-01,A,A3,23,5,2
2018-01-01,A,A3,24,3,2
2018-01-01,A,A3,25,0,2
2018-01-01,A,A3,26,0,2
2018-01-01,A,A3,27,0,2
2018-01-01,A,A3,28,0,2
2018-01-01,A,A3,29,2,2
2018-01-01,A,A3,30,0,2
2018-01-01,A,A3,31,3,2
2018-01-01,A,A3,32,2,2
2018-01-01,A,A3,33,1,2
2018-01-01,A,A3,34,3,2
2018-01-01,A,A3,35,8,2
2018-01-01,A,A3,36,1,2
2018-01-01,A,A3,37,0,2
2018-01-01,A,A3,38,0,2
2018-01-01,A,A3,39,0,2
2018-01-01,A,A3,40,0,2
2018-01-01,A,A3,41,0,2
2018-01-01,A,A3,42,0,2
2018-01-01,A,A3,43,0,2
2018-01-01,A,A3,44,0,2
2018-01-01,A,A3,45,0,2
2018-01-01,A,A3,46,0,2
2018-01-01,A,A3,47,0,2
2018-01-01,A,A3,48,0,2
2018-01-02,A,A3,1,0,0
2018-01-02,A,A3,2,0,0
2018-01-02,A,A3,3,0,0
2018-01-02,A,A3,4,0,0
2018-01-02,A,A3,5,0,0
2018-01-02,A,A3,6,0,0
2018-01-02,A,A3,7,0,0
2018-01-02,A,A3,8,0,0
2018-01-02,A,A3,9,0,0
2018-01-02,A,A3,10,0,0
2018-01-02,A,A3,11,0,0
2018-01-02,A,A3,12,0,0
2018-01-02,A,A3,13,0,0
2018-01-02,A,A3,14,0,0
2018-01-02,A,A3,15,0,0
2018-01-02,A,A3,16,0,0
2018-01-02,A,A3,17,0,0
2018-01-02,A,A3,18,0,0
2018-01-02,A,A3,19,3,0
2018-01-02,A,A3,20,8,0
2018-01-02,A,A3,21,17,0
2018-01-02,A,A3,22,11,0
2018-01-02,A,A3,23,7,0
2018-01-02,A,A3,24,7,0
2018-01-02,A,A3,25,4,0
2018-01-02,A,A3,26,2,0
2018-01-02,A,A3,27,0,0
2018-01-02,A,A3,28,0,0
2018-01-02,A,A3,29,1,0
2018-01-02,A,A3,30,5,0
2018-01-02,A,A3,31,4,0
2018-01-02,A,A3,32,0,0
2018-01-02,A,A3,33,2,0
2018-01-02,A,A3,34,5,0
